Ptolemy ID, Current Name, Pleidas ID
urn:cite:rage:ptolgeo.pt-ll-1611,Capitium,462130
urn:cite:rage:ptolgeo.pt-ll-1612,Abakainon,462062
urn:cite:rage:ptolgeo.pt-ll-1613,Imachara,462259
urn:cite:rage:ptolgeo.pt-ll-1614,Tissa,466007
urn:cite:rage:ptolgeo.pt-ll-1615,Aleta,465848
urn:cite:rage:ptolgeo.pt-ll-1616,Centuripae,462153
urn:cite:rage:ptolgeo.pt-ll-1617,X,X
urn:cite:rage:ptolgeo.pt-ll-1618,Aitna,465922
urn:cite:rage:ptolgeo.pt-ll-1619,Agrigentum,462086
urn:cite:rage:ptolgeo.pt-ll-1620,Herbita,465910
urn:cite:rage:ptolgeo.pt-ll-1621,Sergetion,465990
urn:cite:rage:ptolgeo.pt-ll-1622,Leontini,462279
urn:cite:rage:ptolgeo.pt-ll-1623,X,X
urn:cite:rage:ptolgeo.pt-ll-1624,Menai,462312
